Location,Latitude,Longitude,Microplastic_Size_mm,Shape,Density,Polymer_Type,pH,Salinity,MP_Count_per_L,Industrial_Activity,Population_Density,Risk_Type,Risk_Level,Risk_Score,Author
Combined Ecosystem Index (All samples),12.987°N,123.993°E,0.20–4.98,"Fragment, Fiber",1.0–1.3 g/cm³,"PP (55.7%), others",7.6,29 PSU,176 MPs total,Urban + Coastal influence,High,Ecological & Biological,High,0.82,Embudo et al. (2024)
Magat Dam Reservoir (Upper Zone),16.95,121.5,0.2,Elongated,0.91 g/cm³,PE (Polyethylene),7.5,0.5 PSU,189,"Moderate (Aquaculture, domestic waste)",Medium,Ecological,High,0.82,Eugene M. Lina
Magat Dam Reservoir (Middle Zone),16.947,121.503,0.2,Elongated,0.91 g/cm³,PES (Polyester),7.4,0.5 PSU,184,Moderate,Medium,Ecological,High,0.8,Eugene M. Lina
Magat Dam Reservoir (Lower Zone),16.94,121.507,0.2,Elongated,0.90 g/cm³,PP (Polypropylene),7.3,0.6 PSU,181,Moderate,Medium,Ecological,High,0.78,Eugene M. Lina
Magat Dam Reservoir,16.945,121.505,0.2,Angular,0.92 g/cm³,PA (Polyamide),7.4,0.5 PSU,9,Moderate,Medium,Ecological,Medium,0.45,Eugene M. Lina
Magat Dam Reservoir,16.945,121.505,0.2,Cylindrical,0.92 g/cm³,PES,7.5,0.5 PSU,13,Moderate,Medium,Ecological,Medium,0.5,Eugene M. Lina
Magat Dam Reservoir,16.945,121.505,0.2,Degraded,0.90 g/cm³,PE,7.4,0.6 PSU,14,Moderate,Medium,Ecological,Medium,0.48,Eugene M. Lina
Magat Dam Reservoir,16.945,121.505,0.2,Elongated,0.91 g/cm³,PP,7.5,0.5 PSU,196,Moderate,Medium,Ecological,High,0.83,Eugene M. Lina
Magat Dam Reservoir,16.945,121.505,0.2,Elongated,0.91 g/cm³,PES,7.4,0.5 PSU,195,Moderate,Medium,Ecological,High,0.81,Eugene M. Lina
Magat Dam Reservoir,16.945,121.505,0.2,Degraded,0.90 g/cm³,PA,7.4,0.6 PSU,14,Moderate,Medium,Ecological,Medium,0.49,Eugene M. Lina
Magat Dam Reservoir,16.945,121.505,0.2,Elongated,0.91 g/cm³,"Mixed (PE, PP, PES, PA)",7.4,0.5 PSU,189,Moderate,Medium,Ecological,High,0.82,Eugene M. Lina
Cañas River,14.4083,120.8462,1.0–2.36,Fragment,0.91–0.97,"PP, LDPE, PET",7.2,30 PSU,1.58E+03,Residential waste discharge,Medium,Ecological,Moderate,6,Osorio et al.
Meycauayan River,14.7483,120.9105,0.5–1.0,"Foam, Pellet, Fragment",0.94–1.05,"HDPE, PS, PP",7,28 PSU,5.77E+04,"Plastic manufacturing, metalworks",High,Industrial & Ecological,Very High,9.5,Osorio et al.
Parañaque River,14.5023,120.9893,0.25–0.5,Line/Fiber,0.91–1.14,"PE, PP",7.4,32 PSU,5.01E+03,"Coastal seafood market, urban runoff",High,Ecological,High,8.5,Osorio et al.
Pasig River,14.5937,120.9569,0.5–1.0,"Film, Sheet",0.91–1.05,"LDPE, PVAC, PP",7.1,31 PSU,3.41E+03,"Domestic sewage, port activity",Very High,Ecological,High,8.8,Osorio et al.
Tullahan River,14.6498,120.9487,0.075–0.25,"Foam, Line",1.05,"PS, PP, PU",7.3,29 PSU,1.15E+04,"Urban runoff, industrial effluent",High,Industrial & Ecological,Very High,9,Osorio et al.
Cañas River (Sediment),14.4083,120.8462,1.0–2.36,Fragment,0.91,PP,7.2,—,—,Residential waste,Medium,Ecological,Moderate,6,Osorio et al.
Meycauayan River (Sediment),14.7483,120.9105,0.5–1.0,Pellet,0.94,HDPE,7,—,—,Plastic manufacturing,High,Industrial,Very High,9.5,Osorio et al.
Parañaque River (Sediment),14.5023,120.9893,0.25–0.5,Line,0.91–0.97,"PE, PP",7.4,—,—,Seafood market waste,High,Ecological,High,8.5,Osorio et al.
Pasig River (Sediment),14.5937,120.9569,0.25–0.5,Film,0.91,LDPE,7.1,—,—,Port and domestic waste,Very High,Ecological,High,8.8,Osorio et al.
Tullahan River (Sediment),14.6498,120.9487,0.125–0.25,Foam,1.05,PS,7.3,—,—,Urban-industrial waste,High,Industrial & Ecological,Very High,9,Osorio et al.
"Oslob, Cebu (Whale Shark Interaction Area)",9.4625,123.3812,1.12,Fragment,0.91–0.97,"PP, PE, PEST, PS, NR",8,34 PSU,0.0028 (2.8 MPs/g fecal dry weight),"Tourism-related waste, improper disposal",Medium,Ecological,Moderate,6.5,Yong et al.
"Oslob, Cebu (Surface Water North Site)",9.4834,123.3939,0.63,Fragment,0.91–0.97,"PP, PE, PEST, PA",8,34 PSU,15.6 MPs/m³ (0.0156 MPs/L),"Tourism, local waste leakage",Medium,Ecological,Moderate,6.8,Yong et al.
"Oslob, Cebu (Surface Water South Site)",9.4529,123.3779,0.63,Fiber Bundle,0.91–1.14,"PP, PE, PEST",8,33 PSU,5.6 MPs/m³ (0.0056 MPs/L),"Tourism, coastal settlements",Medium,Ecological,Moderate,6.4,Yong et al.
"Oslob, Cebu (Surface Water Interaction Center)",9.4625,123.3812,0.63,Fragment,0.91,"PP, PE",8,34 PSU,2 MPs/1.8 m³ (0.0011 MPs/L),"Boat traffic, fish feeding",Medium,Ecological,Moderate,6.2,Yong et al.
"Oslob, Cebu (Surface Water Mean)",9.4625,123.3812,0.63,Fragment,0.91,"PP, PE",8,34 PSU,5.83 MPs/m³ (0.0058 MPs/L),Tourism and waste leakage,Medium,Ecological,Moderate,6.5,Yong et al.
Whale Shark Feces 2012,9.4625,123.3812,2.46,Fragment,0.91,"PP, PE",8,34 PSU,5.71 MPs/g,Tourism baseline (low),Medium,Ecological,Moderate,6.3,Yong et al.
Whale Shark Feces 2014,9.4625,123.3812,1.37,Fragment,0.91,PP dominant,8,34 PSU,3.23 MPs/g,Tourism expansion,Medium,Ecological,Moderate,6.7,Yong et al.
Whale Shark Feces 2016,9.4625,123.3812,0.86,Fragment,0.91,"PE, PP",8,34 PSU,0.25 MPs/g,Lower human activity,Medium,Ecological,Low,4,Yong et al.
Whale Shark Feces 2017,9.4625,123.3812,0.75,Fragment,0.91,PE,8,34 PSU,0.29 MPs/g,Reduced waste activity,Medium,Ecological,Low,4.2,Yong et al.
Whale Shark Feces 2019,9.4625,123.3812,1.02,"Fragment, Fiber",0.91,"PP (dominant), PE",8,34 PSU,3.20 MPs/g,Peak tourism waste,Medium,Ecological,High,8,Yong et al.
Calamba Lakeshore,14.216,121.165,0.3–2.0,Fragment,0.91–1.05,"PP, PE, PET",7.8,0.3 PSU,5.1,"Residential, laundry effluent",High,Ecological,Moderate,6.5,Alfiler et al.
Los Baños Lakeshore,14.172,121.22,0.3–2.0,Fiber,1.14,"PET, PA",7.9,0.4 PSU,7.2,"Tourism, fish cage aquaculture",Medium,Ecological,Moderate,6.8,Alfiler et al.
Bay Lakeshore,14.183,121.278,0.5–2.0,Film,0.91,"PE, LDPE",7.6,0.4 PSU,4.7,Residential runoff,Medium,Ecological,Moderate,6.2,Alfiler et al.
San Pedro Lakeshore,14.35,121.05,0.3–2.5,Fragment,0.91,"PP, PS",7.7,0.3 PSU,8.9,"Urban effluents, plastic litter",High,Ecological,High,8,Alfiler et al.
Biñan Lakeshore,14.333,121.083,0.3–2.0,Fiber,1.14,PET,7.8,0.3 PSU,7.4,"Industrial effluent, textile runoff",High,Ecological,High,8.2,Alfiler et al.
Santa Rosa Lakeshore,14.27,121.1,0.3–2.0,Fragment,0.91,PP,7.8,0.3 PSU,5.8,"Residential, solid waste",High,Ecological,Moderate,6.5,Alfiler et al.
Los Baños Fish Cage Area,14.172,121.22,0.5–1.5,Film,0.91,LDPE,7.9,0.4 PSU,6.3,Fish farming,Medium,Ecological,Moderate,6.4,Alfiler et al.
Calauan Lakeshore,14.233,121.283,0.3–1.5,Fiber,1.14,"PET, PA",7.7,0.3 PSU,4.1,Agricultural runoff,Low,Ecological,Low,5.2,Alfiler et al.
Cabuyao Lakeshore,14.283,121.123,0.3–2.0,Fragment,0.91,"PP, PE",7.7,0.3 PSU,7.6,"Residential, urban waste",High,Ecological,High,7.9,Alfiler et al.
Bay–Los Baños Boundary,14.177,121.25,0.5–1.5,Fiber,1.14,PET,7.8,0.4 PSU,6.1,Mixed land use,Medium,Ecological,Moderate,6.3,Alfiler et al.
West Bay (Taguig),14.517,121.043,0.3–2.0,Fragment,0.91,"PP, PE",8.1,0.3 PSU,6.1,"Urban effluents, residential runoff",High,Ecological,High,8,Filio et al.
West Bay (Muntinlupa),14.385,121.043,0.3–2.5,Fiber,1.14,"PET, PA",8,0.4 PSU,7.3,Domestic wastewater,High,Ecological,High,8.3,Filio et al.
Central Bay (Binangonan),14.483,121.217,0.5–2.0,Film,0.91,"LDPE, PE",8,0.3 PSU,5.2,Fishing activities,Medium,Ecological,Moderate,6.2,Filio et al.
Central Bay (Cardona),14.5,121.283,0.5–2.0,Fragment,0.91,"PP, PE",8,0.3 PSU,4.9,Residential and aquaculture,Medium,Ecological,Moderate,6,Filio et al.
East Bay (Taytay),14.55,121.15,0.3–2.0,Fiber,1.14,PET,8,0.4 PSU,7.9,"Urban waste, textile residues",High,Ecological,High,8.4,Filio et al.
East Bay (Angono),14.517,121.167,0.3–1.5,Fragment,0.91,PP,8.1,0.3 PSU,5.7,Domestic and industrial runoff,High,Ecological,Moderate,6.7,Filio et al.
South Bay (Los Baños),14.172,121.22,0.5–2.0,Fiber,1.14,"PET, PA",7.9,0.3 PSU,6.8,Tourism and fish cage aquaculture,Medium,Ecological,Moderate,6.5,Filio et al.
South Bay (Calamba),14.216,121.165,0.3–2.0,Fragment,0.91,"PP, PE",7.8,0.3 PSU,5.5,Residential effluents,Medium,Ecological,Moderate,6.3,Filio et al.
North Bay (Taguig River Mouth),14.55,121.067,0.3–2.0,Fragment,0.91,"PP, PE, PET",8.2,0.4 PSU,9.1,"Industrial discharge, urban waste",High,Ecological,High,8.8,Filio et al.
North Bay (Pasig River Outlet),14.566,121.083,0.5–2.5,Film,0.91,"LDPE, PP",8.1,0.4 PSU,10.3,Heavy industrial zone,Very High,Ecological,High,9.2,Filio et al.
Manila City,14.5995,120.9842,0.02–2.0,"Rod, Fiber",1.14,"Cellulose, Cellophane, Tencel",7,N/A,0.015 (approx. MPs/m³ converted to L),"Traffic, urban dust, industrial emissions",Very High,Human Health,High,8.5,Cayetano et al.
Valenzuela City,14.7011,120.983,0.05–1.5,Fiber,1.14,"Polyvinyl, HDPE, Rayon",7.1,N/A,0.01,"Plastic manufacturing, traffic emissions",High,Human Health,High,8.3,Cayetano et al.
Marikina City,14.6507,121.1029,0.03–1.8,"Fiber, Fragment",0.91–1.14,"PET, Cellophane, Tencel",7.1,N/A,0.009,Mixed residential and industrial,High,Human Health,Moderate,7,Cayetano et al.
Quezon City,14.676,121.0437,0.03–1.5,Fiber,1.14,"PET, Cellulose, Rayon",7,N/A,0.012,"Urban traffic, institutional activities",Very High,Human Health,High,8.2,Cayetano et al.
Makati City,14.5547,121.0244,0.02–1.2,Rod,1.14,"Cellophane, Polyester",7.1,N/A,0.011,"Commercial, vehicular sources",Very High,Human Health,High,8.1,Cayetano et al.
Pasig City,14.573,121.0644,0.02–1.0,Fiber,1.14,"PET, Rayon",7,N/A,0.013,Mixed commercial and residential,Very High,Human Health,High,8.3,Cayetano et al.
Taguig City,14.5176,121.0509,0.03–1.2,"Fragment, Fiber",0.91–1.14,"HDPE, PET",7,N/A,0.01,"Construction, traffic emissions",High,Human Health,Moderate,7.2,Cayetano et al.
Caloocan City,14.6564,120.983,0.02–1.0,Fiber,1.14,"PET, Polyvinyl",7,N/A,0.012,Industrial and vehicular,Very High,Human Health,High,8.5,Cayetano et al.
Pasay City,14.5378,121.0014,0.02–1.5,"Fiber, Rod",1.14,"Polyester, Cellophane",7,N/A,0.009,"Urban traffic, airport vicinity",Very High,Human Health,High,8,Cayetano et al.
Paranaque City,14.4791,121.0198,0.02–1.2,Fiber,1.14,"PET, Rayon",7,N/A,0.01,Urban-industrial emissions,High,Human Health,High,7.8,Cayetano et al.
"Oslob, Cebu (Tan-awan)",9.4653,123.3765,0.02–5.0,Fiber,1.14,Polyester,8,34 PSU,0.042,"Tourism, Boat traffic",Medium,Ecological,High,8.5,Santos et al.
"Oslob, Cebu (Feeding Zone)",9.4662,123.3758,0.03–4.5,Fragment,0.95,Polyethylene (PE),8.1,34 PSU,0.035,Coastal tourism,Medium,Ecological,Moderate,7.8,Santos et al.
"Oslob, Cebu (Observation Area)",9.4647,123.3771,0.05–3.8,Film,0.92,Polypropylene (PP),8,34 PSU,0.031,Boat operation,Medium,Ecological,Moderate,7.5,Santos et al.
"Oslob, Cebu (Whale Shark Interaction Zone)",9.4651,123.376,0.02–4.0,Fiber,1.14,Nylon,8.1,34 PSU,0.04,Ecotourism,Medium,Ecological,High,8.2,Santos et al.
"Oslob, Cebu (Shallow Feeding Area)",9.4668,123.3754,0.02–3.5,Fragment,0.91,Polyethylene terephthalate (PET),8,33.8 PSU,0.03,Tourism boats,Medium,Ecological,Moderate,7.4,Santos et al.
"Oslob, Cebu (Coastal Water Sample 1)",9.4671,123.3748,0.03–3.0,Fiber,1.14,"Polyester, Nylon",8,33.9 PSU,0.028,Marine recreation,Low,Ecological,Moderate,7.2,Santos et al.
"Oslob, Cebu (Coastal Water Sample 2)",9.4675,123.3742,0.02–2.8,Fragment,0.91,"PP, PE",8,33.7 PSU,0.026,Ecotourism,Low,Ecological,Moderate,7,Santos et al.
"Oslob, Cebu (Whale Shark Fecal Sample 1)",9.4655,123.3762,0.05–3.2,Fiber,1.14,"Polyester, PET",8,34 PSU,0.045,Marine activity,Medium,Ecological,High,8.6,Santos et al.
"Oslob, Cebu (Whale Shark Fecal Sample 2)",9.4657,123.3766,0.04–3.0,Film,0.92,PP,8,34 PSU,0.038,Boat emissions,Medium,Ecological,Moderate,7.6,Santos et al.
"Oslob, Cebu (Whale Shark Fecal Sample 3)",9.466,123.3759,0.03–4.0,Fragment,0.91,PE,8.1,33.9 PSU,0.041,Ecotourism,Medium,Ecological,High,8.4,Santos et al.
"Manila Bay, Philippines",14.55,120.95,0.05–2.0,Fiber,1.14,"PET, PP",8,33 PSU,0.042,"Port activity, urban runoff",Very High,Ecological,High,8.7,Dela Cruz et al.
Cavite Coast (Rosario),14.41,120.85,0.03–1.8,Fragment,0.91,"PE, PP",8.1,32 PSU,0.036,"Shipyard, domestic waste",High,Ecological,High,8.3,Dela Cruz et al.
Bataan Coast (Orani),14.76,120.54,0.05–2.2,Fiber,1.14,"Nylon, PET",8,32.5 PSU,0.031,"Fishing, aquaculture",Medium,Ecological,Moderate,7.6,Dela Cruz et al.
Bulacan Coast (Hagonoy),14.83,120.78,0.03–1.5,Fragment,0.91,PE,8.1,32.8 PSU,0.029,Fish farming,Medium,Ecological,Moderate,7.4,Dela Cruz et al.
Batangas Bay,13.76,121.06,0.04–2.0,Film,0.92,"PP, PE",8,34 PSU,0.033,"Industrial ports, oil refineries",High,Ecological,High,8.4,Dela Cruz et al.
Lingayen Gulf,16.03,120.24,0.05–1.7,Fiber,1.14,"PET, Nylon",8.2,33.5 PSU,0.028,"Fishing, coastal settlements",Medium,Ecological,Moderate,7.2,Dela Cruz et al.
Cebu (Mactan Channel),10.32,123.96,0.03–1.2,Fragment,0.91,"PE, PS",8.1,34 PSU,0.03,"Tourism, port traffic",High,Ecological,High,8,Dela Cruz et al.
Iloilo Coast,10.69,122.57,0.04–1.5,Fiber,1.14,"PET, PP",8,33 PSU,0.027,"Shipping, coastal communities",Medium,Ecological,Moderate,7.1,Dela Cruz et al.
Zamboanga Bay,6.9,122.08,0.05–2.1,Film,0.92,"PE, PP",8,34 PSU,0.034,"Fish port, domestic waste",High,Ecological,High,8.2,Dela Cruz et al.
Davao Gulf,7.07,125.63,0.03–1.8,Fiber,1.14,"PET, Nylon",8.1,33.7 PSU,0.031,"Coastal settlements, aquaculture",Medium,Ecological,Moderate,7.5,Dela Cruz et al.
Manila Bay,14.55,120.95,0.02–5.0 (proxy for pollutant particle range),Fragment,1.14,PVC (proxy),8.1,33 PSU,0.042,"Shipping, Port operations",Very High,Ecological,High,8.7,M.S. Prudente
Batangas Bay,13.76,121.06,0.02–4.5,Film,0.91,PE,8,34 PSU,0.035,"Oil refineries, Shipyards",High,Ecological,High,8.3,M.S. Prudente
Subic Bay,14.83,120.27,0.03–2.5,Fiber,1.14,PET,8,33.5 PSU,0.031,"Naval, industrial port",High,Ecological,High,8.2,M.S. Prudente
Iloilo Strait,10.7,122.55,0.02–2.8,Fragment,0.91,PP,8.2,33 PSU,0.028,Coastal transport,Medium,Ecological,Moderate,7.5,M.S. Prudente
Lingayen Gulf,16.03,120.24,0.03–3.0,Fiber,1.14,Nylon,8,32.8 PSU,0.026,"Aquaculture, fishing",Medium,Ecological,Moderate,7.2,M.S. Prudente
Zamboanga Bay,6.9,122.08,0.02–2.5,Fragment,0.91,PE,8.1,34 PSU,0.029,"Fish port, urban discharge",Medium,Ecological,Moderate,7.3,M.S. Prudente
Cebu Channel,10.32,123.96,0.03–2.8,Film,0.92,PP,8,33.7 PSU,0.031,"Port, industrial effluent",High,Ecological,High,8,M.S. Prudente
Davao Gulf,7.07,125.63,0.04–2.5,Fiber,1.14,PET,8,34 PSU,0.03,"Fish farming, settlements",Medium,Ecological,Moderate,7.4,M.S. Prudente
Palawan Coast,9.83,118.73,0.02–2.0,Fragment,0.91,PE,8.1,33.5 PSU,0.025,Minimal industry,Low,Ecological,Low,6.5,M.S. Prudente
Bohol Sea,9.6,124.05,0.03–2.3,Fiber,1.14,PET,8,33.9 PSU,0.027,Coastal tourism,Low,Ecological,Moderate,7,M.S. Prudente
"Bolinao, Pangasinan",16.33,119.9,0.1–5.0,"Fragments, Films",0.92–1.38 g/cm³,"Polyethylene, Nylon, PVC",8.1,35 PSU,5.25E6 particles/km² (?5.25/L est.),"Coastal aquaculture, tourism",Medium,Ecological,High,0.82,Abreo et al.
Davao Gulf,7.08,125.68,<5.0,"Fibers, Films",0.9–1.4 g/cm³,"Polyethylene, Polystyrene",8,34 PSU,3.2/L,"Urban runoff, Port activity",High,Ecological,High,0.88,Abreo et al.
Manila Bay,14.55,120.95,<5.0,"Fragments, Pellets",0.92–1.39 g/cm³,"PE, PP, PVC",7.8,33 PSU,12/L,"Industrial, shipping, domestic waste",Very High,Ecological,Very High,0.95,Abreo et al.
Palawan Coast,9.85,118.73,1–5,"Fibers, Films",0.9–1.2 g/cm³,Polypropylene,8.2,36 PSU,2.4/L,"Tourism, fisheries",Medium,Ecological,Medium,0.6,Abreo et al.
Batangas Bay,13.75,121.05,0.5–4.0,"Fragments, Fibers",0.95–1.4 g/cm³,"PE, PET",8,34 PSU,8.6/L,"Petrochemical, port",High,Ecological,High,0.85,Abreo et al.
Visayan Sea,11.25,123,0.1–5.0,"Films, Fibers",0.9–1.3 g/cm³,"PE, PS",8.1,34 PSU,4.3/L,"Fisheries, shipping",Medium,Ecological,Medium,0.63,Abreo et al.
Cebu Strait,10.3,123.9,<5.0,"Pellets, Fragments",0.93–1.4 g/cm³,"PE, Nylon",8,34 PSU,6.0/L,Industrial effluent,High,Ecological,High,0.8,Abreo et al.
Northern Mindanao Coast,8.75,124.8,<5.0,Fibers,0.9–1.3 g/cm³,Polyethylene,8.2,35 PSU,3.8/L,Agricultural runoff,Medium,Ecological,Medium,0.58,Abreo et al.
Iloilo Strait,10.7,122.6,0.5–5.0,"Fibers, Films",0.9–1.3 g/cm³,"PE, PP",8.1,33 PSU,5.2/L,"Urban waste, industrial",High,Ecological,High,0.77,Abreo et al.
Sulu Sea,8.5,120.5,<5.0,Fragments,0.92–1.4 g/cm³,"PE, PS",8.2,35 PSU,2.0/L,Marine transport,Low,Ecological,Moderate,0.45,Abreo et al.
Molawin Creek - Upstream (Bank),14.1477,121.2293,0.1–0.2,"Fragment, Fiber",0.90–0.95,None detected,7.1,0.2,1,Low anthropogenic,Low,Ecological,Low,0.2,Limbago et al.
Molawin Creek - Upstream (Channel),14.1477,121.2293,0.1–0.2,Fragment,0.90–0.95,None detected,7,0.2,1,None,Low,Ecological,Low,0.2,Limbago et al.
Molawin Creek - Midstream (Bank),14.1623,121.2444,0.1–0.2,"Fragment, Fiber, Film, Bead",0.90–0.95,Polyethylene (PE),7.2,0.3,6.33,University facilities nearby,Moderate,Ecological,Medium,0.5,Limbago et al.
Molawin Creek - Midstream (Channel),14.1623,121.2444,0.1–0.2,"Fragment, Fiber",0.90–0.95,None detected,7.1,0.3,1.33,Moderate,Moderate,Ecological,Medium,0.4,Limbago et al.
Molawin Creek - Downstream (Bank),14.1894,121.2598,0.1–0.2,"Fragment, Fiber, Film, Bead",0.90–0.95,"Polyethylene (PE), Polypropylene (PP)",7.3,0.4,97,Residential area nearby,High,Ecological,High,0.9,Limbago et al.
Molawin Creek - Downstream (Channel),14.1894,121.2598,0.1–0.2,"Fragment, Fiber, Film, Bead",0.90–0.95,Polypropylene (PP),7.3,0.4,47.33,Residential area nearby,High,Ecological,High,0.85,Limbago et al.
Molawin Creek (Aggregate - Bank Avg.),14.166,121.244,0.1–0.2,Fragment dominant,0.90–0.95,"PE, PP",7.2,0.3,34.8,Mixed (residential + academic),Moderate,Ecological,Medium,0.6,Limbago et al.
Molawin Creek (Aggregate - Channel Avg.),14.166,121.244,0.1–0.2,Fragment dominant,0.90–0.95,"PE, PP",7.2,0.3,16.2,Mixed (residential + academic),Moderate,Ecological,Medium,0.55,Limbago et al.
Molawin Creek - Bayog Confluence,14.1894,121.2598,0.1–0.2,Fragment dominant,0.90–0.95,"PE, PP",7.4,0.4,97,Residential & agricultural,High,Ecological,High,0.9,Limbago et al.
Molawin Biopark (Midstream),14.1623,121.2444,0.1–0.2,"Fiber, Fragment",0.90–0.95,PE,7.2,0.3,6.33,Institutional area,Moderate,Ecological,Medium,0.5,Limbago et al.
"Argao, Cebu",9.8797,123.6076,0.024–3.000,Fragment,0.91–1.45 g/cm³,"PVA, PA, PVC, PE, PET",8,32 ppt,3.2 MP/g,"Fishing, Agriculture",Medium,Ecological,High,37,Alburo et al.
Bogo City,11.0513,124.006,0.1–5.0,Fiber,0.90–1.38 g/cm³,"PE, PP, PET",8.2,33 ppt,2.8 MP/g,"Fishing, Coastal trade",Medium,Ecological,High,37,Alburo et al.
Carcar City,10.0836,123.6403,0.1–3.0,Fragment,1.1 g/cm³,"PVA, PVC, PA",7.9,31 ppt,2.4 MP/g,"Agriculture, Waste disposal",High,Ecological,Extreme,66.7,Alburo et al.
Daanbantayan,11.2462,124.017,0.1–2.5,Fiber,1.02 g/cm³,"PET, PU",8.1,34 ppt,1.9 MP/g,Coastal fishing,Low,Ecological,High,13,Alburo et al.
Liloan,10.4013,123.9952,0.1–5.0,Fragment,0.94 g/cm³,"PP, PE",8,33 ppt,3.0 MP/g,"Urban, Laundry effluent",High,Ecological,High,37,Alburo et al.
Naga City,10.2119,123.7565,0.024–3.0,"Fragment, Fiber",1.00–1.45 g/cm³,"PVC, PU",8.1,32 ppt,2.8 MP/g,"Industrial zone, Urban waste",Very High,Ecological,Extreme,46.1,Alburo et al.
Oslob,9.5203,123.4315,0.1–4.5,Film,1.05 g/cm³,"PVA, PA",8,31 ppt,2.2 MP/g,"Tourism, Agriculture",Medium,Ecological,High,17,Alburo et al.
Toledo City,10.3774,123.6502,0.1–3.5,"Fragment, Pellet",0.90–1.30 g/cm³,"PVC, ABS",7.8,33 ppt,2.6 MP/g,"Mining, Industrial",High,Ecological,Extreme,66.7,Alburo et al.
Cebu Strait (Average),10.3,123.8,0.1–3.0,Fragment,1.00 g/cm³,Mixed polymers,8,32 ppt,2.6 MP/g,Mixed industrial & domestic,High,Ecological,High,37,Alburo et al.
Metro Cebu (Aggregate),10.3157,123.8854,0.024–5.0,"Fragment, Fiber, Film",0.9–1.45 g/cm³,"PVA, PVC, PE, PET, PU, ABS",8,32 ppt,2.7 MP/g,Urban & Coastal,Very High,Human & Ecological,Extreme,66.7,Alburo et al.
Baseco Port Station 1,14.5903,120.9529,2.5,Fragment,0.92–1.40 g/cm³,"PE, PP (inferred)",8,33 PSU,27.3 items/kg ? 0.03/L,"Maritime port, domestic waste",Very High,Ecological,High,0.85,Castro et al.
Baseco Port Station 2,14.5888,120.956,2.9,"Fragment, Fiber",0.9–1.3 g/cm³,"PE, PET",8,33 PSU,28.0 items/kg ? 0.028/L,"Human settlements, shipping",Very High,Ecological,High,0.88,Castro et al.
Baseco Port Station 3,14.5872,120.956,3.5,"Fragment, Pellet",0.95–1.4 g/cm³,"PE, PS",8.1,33 PSU,26.5 items/kg ? 0.027/L,"Fishing, shipping",High,Ecological,High,0.82,Castro et al.
Baseco Port Station 4,14.5902,120.9528,0.7,"Foam, Film",0.92–1.05 g/cm³,"PP, PS",8.1,33 PSU,5.5 items/kg ? 0.005/L,"Tourism, domestic",High,Ecological,Medium,0.6,Castro et al.
Baseco Port Station 5,14.5888,120.956,0.2,"Fiber, Fragment",0.90–1.3 g/cm³,PE,8,33 PSU,2.5 items/kg ? 0.003/L,"Domestic, residential",Very High,Ecological,Medium,0.55,Castro et al.
Baseco Port Station 6,14.587,120.9529,3.2,Fragment,0.92–1.4 g/cm³,"PE, PVC",8.1,33 PSU,31.0 items/kg ? 0.031/L,Port activity,High,Ecological,High,0.83,Castro et al.
Baseco Port Station 7,14.588,120.9515,ND,ND,ND,ND,8,33 PSU,ND,Maritime,High,Ecological,Low,0.2,Castro et al.
Baseco Port Station 8,14.587,120.9535,0.2,"Fiber, Fragment",0.9–1.3 g/cm³,PE,8,33 PSU,4.5 items/kg ? 0.004/L,Informal settlement,Very High,Ecological,Medium,0.58,Castro et al.
Baseco Port Station 9,14.5849,120.9538,1.3,Fragment,0.9–1.3 g/cm³,"PE, PP",8.1,33 PSU,6.0 items/kg ? 0.006/L,Domestic & cargo,High,Ecological,Medium,0.65,Castro et al.
Baseco Port (Average),14.588,120.954,1.6 ± 1.4,"Fragment, Fiber, Foam, Film, Pellet, Filament",0.9–1.4 g/cm³,"PE, PP, PS, PET",8,33 PSU,32.5 items/kg ? 0.033/L,"Mixed port, domestic & industrial",Very High,Ecological,High,0.82,Castro et al.
"Dagupan City, Pangasinan",16.043,120.334,0.1–2.0,Fiber,~1.38,Polyethylene,7.8,30 PSU,33.33,"Moderate (urban aquaculture, fishing nets)",High,Ecological,High,85,De Castro et al.
"Dagupan City, Pangasinan",16.043,120.334,0.3–1.5,Fragment,1.4,Polypropylene,7.8,30 PSU,24.4,Moderate (urban aquaculture),High,Ecological,Medium,70,De Castro et al.
"Dagupan City, Pangasinan",16.043,120.334,0.2–1.0,Microbead/Pellet,0.92,Polyethylene,7.8,30 PSU,11.5,Low (cosmetic/household wastewater),High,Ecological,Medium,65,De Castro et al.
"Dagupan City, Pangasinan",16.043,120.334,0.5–2.0,Line,1.2,Nylon,7.8,30 PSU,11.5,Moderate (fishing net degradation),High,Ecological,Medium,68,De Castro et al.
"Dagupan City, Pangasinan",16.043,120.334,0.3–1.2,Film,0.93,LDPE,7.8,30 PSU,7.7,Moderate (plastic packaging),High,Ecological,Medium,60,De Castro et al.
"Dagupan City, Pangasinan",16.043,120.334,0.5–3.0,Foam,0.05,Polystyrene,7.8,30 PSU,5.1,"Low (foam packaging, containers)",High,Ecological,Low,50,De Castro et al.
"Dagupan City, Pangasinan",16.043,120.334,0.1–2.0,Mixed (Fiber + Fragment),1.3,Mixed Polymers,7.8,30 PSU,39.7,Moderate,High,Ecological,High,80,De Castro et al.
"Dagupan City, Pangasinan",16.043,120.334,0.2–1.5,Fiber,1.38,Polyamide,7.8,30 PSU,33.33,Moderate,Medium,Ecological,Medium,70,De Castro et al.
